seller_sk	seller_id	seller_zip_code_prefix	seller_city	seller_state	first_sale_date	last_sale_date	total_orders	total_items_sold	total_sales_amount	avg_item_price	is_top_seller	dwh_create_date
806	4324dd16853115efb0fd9d0d131ba6f4	13720	sao jose do rio pardo	SP	2017-05-31	2018-03-06	12	18	1052.25	58.46	0	2026-05-13 13:24:56.700
807	432c37c9dfba871172ec162e20118b8c	70235	brasilia	DF	2017-03-02	2018-04-12	46	57	2968.87	52.09	0	2026-05-13 13:24:56.700
808	432c67955c0acd1fd6b0b5d678766a71	5571	sao paulo	SP	2016-10-04	2017-02-01	3	3	1151.00	383.67	0	2026-05-13 13:24:56.700
809	43402bdf22aa2310e8f99e2f94f78628	9434	ribeirao pires	SP	2018-05-14	2018-06-28	4	5	649.95	129.99	0	2026-05-13 13:24:56.700
810	4342d4b2ba6b161468c63a7e7cfce593	22793	rio de janeiro	RJ	2017-12-23	2018-07-25	20	20	2867.10	143.36	0	2026-05-13 13:24:56.700
811	436bf27f2f18474fc6047702e9f8a866	13041	campinas	SP	2017-01-18	2017-01-18	1	1	29.90	29.90	0	2026-05-13 13:24:56.700
812	4371b634e0efc0e22b09b52907d9d469	2028	sao paulo	SP	2017-06-16	2018-08-13	102	112	8194.00	73.16	0	2026-05-13 13:24:56.700
813	43753b27d77860f1654aa72e251a7878	44895	barro alto	BA	2017-09-08	2017-09-08	1	1	23.90	23.90	0	2026-05-13 13:24:56.700
814	4391ea5c5990502176a1dcda44a2373d	91910	porto alegre	RS	2017-10-15	2018-05-16	3	5	2349.00	469.80	0	2026-05-13 13:24:56.700
815	439a47cc365d6e3bd526812ea9de3c29	8730	mogi das cruzes	SP	2017-08-21	2018-07-05	8	13	1186.50	91.27	0	2026-05-13 13:24:56.700
816	43a1d4bab73b816e44ef4e4facd9f9b5	87050	maringa	PR	2017-02-20	2017-02-20	1	1	189.90	189.90	0	2026-05-13 13:24:56.700
817	43a5d4a57af536fddc96d08be3afdfcb	37006	varginha	MG	NULL	NULL	1	1	75.00	75.00	0	2026-05-13 13:24:56.700
818	43b2c864251aa0ce4030c746984e088a	71936	brasilia	DF	2018-07-28	2018-07-28	2	2	94.80	47.40	0	2026-05-13 13:24:56.700
819	43f8c9950d11ecd03a0304a49e010da6	6341	carapicuiba	SP	2017-07-27	2018-05-29	41	41	4249.59	103.65	0	2026-05-13 13:24:56.700
820	44073f8b7e41514de3b7815dd0237f4f	71070	brasilia	DF	2017-02-22	2018-08-08	144	153	18729.64	122.42	0	2026-05-13 13:24:56.700
821	440dd6ab244315c632130ecfb63827b1	15502	votuporanga	SP	2016-10-04	2018-08-04	94	95	13696.90	144.18	0	2026-05-13 13:24:56.700
822	443d880f15cbd3572885e1d44bf2c478	17506	marilia	SP	2017-07-21	2017-07-21	1	2	94.80	47.40	0	2026-05-13 13:24:56.700
823	4450bd8327d471c4a11a83d1445b1b62	6714	cotia	SP	2017-04-11	2017-04-11	1	1	199.00	199.00	0	2026-05-13 13:24:56.700
824	446cc09cdbb130904da114e807dbec40	5615	sao paulo	SP	2018-03-06	2018-06-04	3	3	252.80	84.27	0	2026-05-13 13:24:56.700
825	44717f64ec2a457979cf83c429077666	98780	santa rosa	RS	2018-08-01	2018-08-18	2	3	107.00	35.67	0	2026-05-13 13:24:56.700
826	447d377bdb757058acb569025ee18a93	99500	carazinho	RS	2018-02-02	2018-02-02	1	1	64.99	64.99	0	2026-05-13 13:24:56.700
827	44ed138eca6214d572ce1d813fb0049b	92010	canoas	RS	2018-08-08	2018-08-21	2	3	129.79	43.26	0	2026-05-13 13:24:56.700
828	44f091b5abab8018f682fce8124b85e5	2281	sao paulo	SP	2017-09-11	2017-11-13	6	6	1680.10	280.02	0	2026-05-13 13:24:56.700
829	45213867cefbf2cd4c6177e10216a951	13603	araras	SP	2017-01-27	2017-10-11	14	14	4955.42	353.96	0	2026-05-13 13:24:56.700
830	4559697a8f7e637227c2eeaed843baff	19029	presidente prudente	SP	2017-02-14	2018-06-27	42	42	3696.00	88.00	0	2026-05-13 13:24:56.700
831	455befea1bb853c75ccbca94cff26e5c	27525	resende	RJ	2018-06-07	2018-06-07	1	1	19.99	19.99	0	2026-05-13 13:24:56.700
832	455c5640e8c5bd1b2ee85c0158f85727	89128	luiz alves	SC	2018-02-15	2018-05-14	8	8	6729.50	841.19	0	2026-05-13 13:24:56.700
833	455f46ef09a9e45667e2981df84b5cc2	18052	sorocaba	SP	2018-08-07	2018-08-07	2	2	59.80	29.90	0	2026-05-13 13:24:56.700
834	457fe919b032a3f7dadba6fb92cf7855	13140	paulinia	SP	2018-05-02	2018-08-06	9	12	1104.89	92.07	0	2026-05-13 13:24:56.700
835	458c6fa920810ce2492da71bc26d9eec	15813	catanduva	SP	2017-12-12	2017-12-21	2	2	756.76	378.38	0	2026-05-13 13:24:56.700
836	458d868c9642f55f18f04e951a3fdde6	90670	porto alegre	RS	2017-05-31	2017-08-01	2	2	2718.00	1359.00	0	2026-05-13 13:24:56.700
837	45a3d05fb00435e52a28859dd03703b3	7176	guarulhos	SP	2017-02-03	2017-02-03	1	1	1299.00	1299.00	0	2026-05-13 13:24:56.700
838	45ba18c210d42734ec52c0c1c574e9ee	18130	sao roque	SP	2018-04-03	2018-08-23	38	41	5589.13	136.32	0	2026-05-13 13:24:56.700
839	45c20d94d9171b0bcfab3c955e47d67b	13490	cordeiropolis	SP	2017-05-05	2017-08-30	4	4	129.46	32.37	0	2026-05-13 13:24:56.700
840	45d33f715e24d15a6ccf5c17b3a23e3c	18015	sorocaba	SP	2016-10-03	2018-08-17	59	61	4838.23	79.32	0	2026-05-13 13:24:56.700
841	461ff5303b6c9c1a4a07f40c5aece516	83323	pinhais	PR	2018-02-23	2018-07-14	3	3	102.70	34.23	0	2026-05-13 13:24:56.700
842	466222e777149751370e7e98fb623b0c	20931	rio de janeiro	RJ	2018-08-06	2018-08-06	1	1	87.90	87.90	0	2026-05-13 13:24:56.700
843	4677a5437afda5fa7140b927b07be1cc	84920	japira	PR	2018-04-13	2018-08-09	11	11	3415.70	310.52	0	2026-05-13 13:24:56.700
844	46dc3b2cc0980fb8ec44634e21d2718e	22240	rio de janeiro	RJ	2016-10-04	2018-08-17	521	542	128111.19	236.37	1	2026-05-13 13:24:56.700
845	46ef1a25845fc051c2998d878354810c	35530	claudio	MG	2017-09-13	2018-08-17	5	5	250.41	50.08	0	2026-05-13 13:24:56.700
846	4736e9d642ef4257cd7622516931eb51	13424	piracicaba	SP	2017-11-16	2018-08-25	16	20	1078.87	53.94	0	2026-05-13 13:24:56.700
847	47648caee88ccfe951fbb27fbf7b4cbe	9931	diadema	SP	2018-04-03	2018-05-21	3	3	1564.99	521.66	0	2026-05-13 13:24:56.700
848	478bfe564db21eeb44386606aa30b650	33600	pedro leopoldo	MG	2017-10-08	2017-12-27	3	3	182.70	60.90	0	2026-05-13 13:24:56.700
849	47efca563408aae19bb7206c2d969ea9	64033	teresina	PI	2018-01-05	2018-08-23	12	12	2522.00	210.17	0	2026-05-13 13:24:56.700
850	47f55702f598c7c6cc8458b0fbc1c49a	36213	dores de campos	MG	2017-09-15	2017-10-30	2	2	127.50	63.75	0	2026-05-13 13:24:56.700
851	48162d548f5b1b11b9d29d1e01f75a61	13403	piracicaba	SP	2017-01-26	2018-08-17	68	91	20510.14	225.39	0	2026-05-13 13:24:56.700
852	4830e40640734fc1c52cd21127c341d4	3573	sao paulo	SP	2017-07-25	2018-08-27	210	219	9843.47	44.95	0	2026-05-13 13:24:56.700
853	48328ec9a579151d9cc6a86d4a59336c	92310	canoas	RS	2017-09-19	2017-09-19	1	1	1099.00	1099.00	0	2026-05-13 13:24:56.700
854	483ca627d131e18f988349b1655c0acd	13800	mogi mirim	SP	2018-03-27	2018-03-27	1	1	264.00	264.00	0	2026-05-13 13:24:56.700
855	48436dade18ac8b2bce089ec2a041202	27277	volta redonda	SP	2017-03-15	2018-08-18	138	151	12271.71	81.27	0	2026-05-13 13:24:56.700
856	485452467ff670447e84a8370c3fc898	89190	taio	SC	2018-02-02	2018-03-01	3	3	175.70	58.57	0	2026-05-13 13:24:56.700
857	4867209cb29b56b92893d7bde3ce8012	17209	jau	SP	2018-06-16	2018-06-16	1	1	150.00	150.00	0	2026-05-13 13:24:56.700
858	4869f7a5dfa277a7dca6462dcf3b52b2	14840	guariba	SP	2017-03-07	2018-08-24	1132	1156	229472.63	198.51	1	2026-05-13 13:24:56.700
859	48985c61529077fa4f1e38bcff0f2ed3	90020	porto alegre	RS	2017-01-31	2017-08-01	7	7	879.30	125.61	0	2026-05-13 13:24:56.700
860	48b6c3f4c6a93171da04b75313f2130f	17700	osvaldo cruz	SP	2018-03-09	2018-04-25	2	2	290.26	145.13	0	2026-05-13 13:24:56.700
861	48bad451945f5227341793478d6353ea	1220	sao paulo	SP	2017-02-16	2017-12-26	3	3	307.00	102.33	0	2026-05-13 13:24:56.700
862	48e5ee06fb2dc74df1c711a9b6dfac2a	35540	oliveira	MG	2018-02-03	2018-02-03	1	3	57.00	19.00	0	2026-05-13 13:24:56.700
863	48e954b2da4f6a750c844173b347ed40	91740	porto alegre	RS	2018-04-09	2018-05-07	2	6	397.80	66.30	0	2026-05-13 13:24:56.700
864	48efc9d94a9834137efd9ea76b065a38	81130	curitiba	PR	2016-12-23	2017-01-26	33	34	345.60	10.16	0	2026-05-13 13:24:56.700
865	48fb026ed7455a42f5d3e9390ed5088e	27321	barra mansa	RJ	2017-05-24	2017-12-04	11	11	555.71	50.52	0	2026-05-13 13:24:56.700
866	49067458c68f7701fd334ce326accbe0	36050	juiz de fora	MG	2017-09-27	2018-08-17	17	37	1047.65	28.31	0	2026-05-13 13:24:56.700
867	4917cee8d902e13428c3ec4b1ca6f315	89031	blumenau	SC	2017-05-21	2018-08-17	33	33	5421.90	164.30	0	2026-05-13 13:24:56.700
868	491a5ada3aa1678414e990262c4bbdc1	4208	sao paulo	SP	2017-03-06	2017-04-05	2	2	2840.00	1420.00	0	2026-05-13 13:24:56.700
869	49383af7ab774e4e8f3000f49c83dc4b	12080	taubate	SP	2018-04-27	2018-08-20	8	12	660.00	55.00	0	2026-05-13 13:24:56.700
870	4965a7002cca77301c82d3f91b82e1a9	18074	sorocaba	SP	2018-04-21	2018-04-21	1	1	8.49	8.49	0	2026-05-13 13:24:56.700
871	497709c2976a8fa308730a2dec5b0726	9981	diadema	SP	2018-07-19	2018-07-19	1	2	76.00	38.00	0	2026-05-13 13:24:56.700
872	4978a02ea9c8be7a9b5480680f40334e	8215	sao paulo	SP	2018-03-21	2018-08-05	18	19	2356.61	124.03	0	2026-05-13 13:24:56.700
873	499185655c29ecfdbfe776ef7cf875b5	90520	porto alegre	RS	2018-06-02	2018-06-02	1	1	89.00	89.00	0	2026-05-13 13:24:56.700
874	4992e76a42cb3aad7a7047e0d3d7e729	3334	sao paulo	SP	2017-05-12	2018-08-13	57	74	2211.10	29.88	0	2026-05-13 13:24:56.700
875	499ec63c58e51296c9cf57edcfe1c8a8	2918	sao paulo	SP	2018-04-11	2018-06-03	5	5	365.00	73.00	0	2026-05-13 13:24:56.700
876	49cdc90518a4f82676b38b3c1aa43ff6	3031	sao paulo	SP	2018-06-11	2018-08-28	5	5	1539.50	307.90	0	2026-05-13 13:24:56.700
877	49e7217cfe4e427191c378ec626d8737	35570	formiga	MG	2017-05-20	2018-05-27	13	14	3002.70	214.48	0	2026-05-13 13:24:56.700
878	49f8d2ea7b718d0ce587d34207caf2b4	9830	sao bernardo do campo	SP	2018-08-23	2018-08-23	1	1	149.90	149.90	0	2026-05-13 13:24:56.700
879	4a1917ef994878940e1fb03eeb787ad7	70610	brasilia	DF	2018-06-19	2018-07-26	2	3	768.00	256.00	0	2026-05-13 13:24:56.700
880	4a1f694197d05fe70026b016a7316b41	13920	pedreira	SP	2018-02-17	2018-08-12	14	23	907.77	39.47	0	2026-05-13 13:24:56.700
881	4a23adac87cf538689fa600d976f78b2	4537	sao paulo	SP	2018-08-21	2018-08-22	3	3	405.00	135.00	0	2026-05-13 13:24:56.700
882	4a3ca9315b744ce9f8e9374361493884	14940	ibitinga	SP	2017-01-08	2018-08-27	1806	1987	200472.92	100.89	1	2026-05-13 13:24:56.700
883	4a3ccda38b2129705f3fb522db62ca31	17504	marilia	SP	2017-09-13	2018-08-19	66	78	17062.59	218.75	0	2026-05-13 13:24:56.700
884	4a5b36211b1f51bf7eaa5c10a57fa483	24445	sao goncalo	RJ	2018-08-05	2018-08-05	1	1	139.19	139.19	0	2026-05-13 13:24:56.700
885	4a82168aaef173cbb6e46ae88728f919	84500	irati	PR	2018-07-13	2018-08-07	4	4	512.00	128.00	0	2026-05-13 13:24:56.700
886	4a82c4af97ffc0fb2dc26bfdc03b1842	35590	lagoa da prata	MG	2017-05-30	2017-08-15	3	3	143.70	47.90	0	2026-05-13 13:24:56.700
887	4aba391bc3b88717ce08eb11e44937b2	45816	arraial d'ajuda (porto seguro)	BA	2017-02-02	2018-08-04	29	30	7595.87	253.20	0	2026-05-13 13:24:56.700
888	4aba6a02a788d3ec81c03137144d9a80	89460	canoinhas	SC	2018-01-16	2018-01-16	1	1	89.90	89.90	0	2026-05-13 13:24:56.700
889	4b0fdb526525f9890eb145bf1534640e	14940	ibitinga	SP	2018-02-25	2018-08-22	18	20	2419.00	120.95	0	2026-05-13 13:24:56.700
890	4b1eaadf791bdbbad8c4a35b65236d52	14092	ribeirao preto	SP	2016-10-04	2017-03-18	8	8	1849.79	231.22	0	2026-05-13 13:24:56.700
891	4b39558c138930b9e5489c93b6df5fe3	49055	aracaju	SE	2017-11-15	2018-01-14	4	5	1096.70	219.34	0	2026-05-13 13:24:56.700
892	4b5f66b7adcf57f1ecc0d3c07dd6b177	87025	vendas@creditparts.com.br	PR	2017-03-21	2018-07-25	23	38	6381.78	167.94	0	2026-05-13 13:24:56.700
893	4b90495391ac0bd181a80a459df1e718	96400	bage	RS	2016-10-05	2016-10-05	1	1	248.00	248.00	0	2026-05-13 13:24:56.700
894	4b9750c8ad28220fe6702d4ecb7c898f	13484	limeira	SP	2017-10-12	2018-08-27	218	222	15915.30	71.69	0	2026-05-13 13:24:56.700
895	4b98b0428fc1932cc2514ef9ce2505e6	6795	taboao da serra	SP	2017-09-11	2017-11-16	2	2	327.63	163.81	0	2026-05-13 13:24:56.700
896	4ba52dfeba874da5b9ee7b17c7494f04	8790	mogi das cruzes	SP	2017-07-31	2017-10-23	11	11	1463.00	133.00	0	2026-05-13 13:24:56.700
897	4bc3d93e4a5f88a598d3d8ce4ae510b3	4564	sao paulo	SP	2018-07-08	2018-07-08	1	1	169.00	169.00	0	2026-05-13 13:24:56.700
898	4bcec44888b30ba9001234c534716d3f	9230	santo andre	SP	2018-01-06	2018-07-18	5	5	146.00	29.20	0	2026-05-13 13:24:56.700
899	4bde6149c15cf7e177b36fa060dd6de8	99500	carazinho	RS	2016-10-07	2016-10-10	2	2	159.80	79.90	0	2026-05-13 13:24:56.700
900	4be2e7f96b4fd749d52dff41f80e39dd	69900	rio branco	AC	2016-10-05	2016-10-05	1	1	267.00	267.00	0	2026-05-13 13:24:56.700
901	4be6b962d83299498bae2190f95d6566	13561	sao carlos	SP	2018-03-07	2018-08-12	11	12	508.80	42.40	0	2026-05-13 13:24:56.700
902	4be9ae93c4fc0f41713d71a4194ee1b3	35500	divinopolis	MG	2018-08-17	2018-08-17	1	1	109.90	109.90	0	2026-05-13 13:24:56.700
903	4bf2f4ee540798a61f9636d12cd9cc80	19814	assis	SP	2017-03-29	2018-08-09	29	30	4995.56	166.52	0	2026-05-13 13:24:56.700
904	4bf658053d453036c70976bccb2c31b2	15070	sao jose do rio preto	SP	2017-04-15	2017-05-18	2	2	1742.99	871.50	0	2026-05-13 13:24:56.700
905	4bfc7a4a1cf8d4d2121c27422d9e50b5	3111	sao paulo	SP	2018-03-25	2018-08-22	26	40	8124.40	203.11	0	2026-05-13 13:24:56.700
906	4c03b9dd4c11ee2cb35c96c49efc9420	13232	campo limpo paulista	SP	2017-05-04	2017-10-06	48	48	6458.60	134.55	0	2026-05-13 13:24:56.700
907	4c18691b6037662be2df78a765d98ab5	3167	sao paulo	SP	2018-02-25	2018-08-28	63	67	3195.52	47.69	0	2026-05-13 13:24:56.700
908	4c1c7281388a33dd06daac44f9fadbd1	17510	marilia	SP	2018-04-04	2018-06-20	5	5	188.32	37.66	0	2026-05-13 13:24:56.700
909	4c2b230173bb36f9b240f2b8ac11786e	3933	sao paulo	SP	2017-02-14	2018-08-20	261	346	14592.27	42.17	0	2026-05-13 13:24:56.700
910	4c498c7345e89aebad651544829beca0	6341	carapicuiba	SP	2017-12-02	2018-08-16	48	48	4819.76	100.41	0	2026-05-13 13:24:56.700
911	4c4d546adf3c3868fe19c9ec6e9ffda9	87013	maringa	PR	2018-06-07	2018-08-16	2	3	111.70	37.23	0	2026-05-13 13:24:56.700
912	4c60877808f4318ef1107fbeb8f89afa	12940	atibaia	SP	2017-12-01	2018-01-16	2	2	118.00	59.00	0	2026-05-13 13:24:56.700
913	4c61e37f664c3c88aff092aa5ac779d7	24020	niteroi	RJ	2018-03-10	2018-04-17	7	8	788.31	98.54	0	2026-05-13 13:24:56.700
914	4c8545742faaf58fafd5fd14d25d75cf	15603	fernandopolis	SP	2018-03-15	2018-05-19	4	4	3020.00	755.00	0	2026-05-13 13:24:56.700
915	4c8b8048e33af2bf94f2eb547746a916	14940	ibitinga	SP	2017-08-22	2018-08-24	23	27	2020.73	74.84	0	2026-05-13 13:24:56.700
916	4cc43a222a0f94910728b62b97a8c5f8	14026	ribeirao preto	SP	2018-01-31	2018-01-31	1	1	108.50	108.50	0	2026-05-13 13:24:56.700
917	4cc4fd4fdd406a85bbdc1f824b731bd7	85906	toledo	PR	2018-02-26	2018-02-26	1	2	539.98	269.99	0	2026-05-13 13:24:56.700
918	4ce6e5f6c52515177e18c1c9361d8677	9895	sao bernardo do campo	SP	2018-07-16	2018-07-16	1	1	226.60	226.60	0	2026-05-13 13:24:56.700
919	4ce8b55b4bfa4659184e7becc1fba3f2	83823	fazenda rio grande	PR	2018-04-23	2018-04-29	2	2	199.00	99.50	0	2026-05-13 13:24:56.700
920	4cf490a58259286ada5ba8525ba9e84a	14910	tabatinga	SP	2017-03-14	2017-11-23	8	8	1254.20	156.78	0	2026-05-13 13:24:56.700
921	4d0041cdbe51b4617d95c70b19decc74	36052	juiz de fora	MG	2018-05-10	2018-07-31	8	8	5235.20	654.40	0	2026-05-13 13:24:56.700
922	4d232b78ab7ef10393dc3807d827bc0d	30120	belo horizonte	MG	2018-07-22	2018-08-15	5	5	1475.00	295.00	0	2026-05-13 13:24:56.700
923	4d600e08ecbe08258c79e536c5a42fee	85988	entre rios do oeste	PR	2016-10-06	2017-03-15	8	8	4465.34	558.17	0	2026-05-13 13:24:56.700
924	4d6d651bd7684af3fffabd5f08d12e5a	17209	jau	SP	2017-04-25	2018-08-23	369	395	43587.40	110.35	0	2026-05-13 13:24:56.700
925	4d6fb82c629c7a5028bfd973c07b05e0	31525	belo horizonte	MG	2017-02-22	2017-02-28	2	2	278.00	139.00	0	2026-05-13 13:24:56.700
926	4d8809767a5bafe22909c77951fb6b41	6803	embu das artes	SP	2017-10-25	2017-10-25	1	1	50.00	50.00	0	2026-05-13 13:24:56.700
927	4d9fea3499bdc22aa4da4e339365f215	4209	sao paulo	SP	2018-02-17	2018-02-17	2	2	192.54	96.27	0	2026-05-13 13:24:56.700
928	4da0e408c99d2fdc2126dc9fce518060	86300	cornelio procopio	PR	2017-01-14	2018-08-13	44	54	3026.00	56.04	0	2026-05-13 13:24:56.700
929	4dab98ca6cd6d3df586203cefd28a042	91150	porto alegre	RS	2018-03-05	2018-03-05	1	1	154.90	154.90	0	2026-05-13 13:24:56.700
930	4dbd95a08b31ede5c82d3f861cb1ce1a	80210	curitiba	PR	2017-05-21	2017-11-14	6	6	1304.67	217.45	0	2026-05-13 13:24:56.700
931	4dc2e811a1760953cb7c6a590b498943	17230	itapui	SP	2018-08-20	2018-08-20	1	1	175.00	175.00	0	2026-05-13 13:24:56.700
932	4dc646b9b9e8e411ef48ba000ea3ac6f	13272	valinhos	SP	2018-02-03	2018-08-16	4	5	289.70	57.94	0	2026-05-13 13:24:56.700
933	4ddeb3e828550cddc8d45c8bc36ab2d1	1131	sao paulo	SP	2017-03-15	2017-03-15	1	1	152.00	152.00	0	2026-05-13 13:24:56.700
934	4de6e4ba574aa9dfdc824bc44dc47fdd	83402	colombo	PR	2018-01-09	2018-07-05	14	14	451.10	32.22	0	2026-05-13 13:24:56.700
935	4deebb3199eeafb282ae33229144f94b	2112	sao paulo	SP	2018-01-14	2018-07-28	4	5	779.70	155.94	0	2026-05-13 13:24:56.700
936	4e06067cc08b3f41d837768d392c3ee3	32604	betim	MG	2017-07-16	2018-08-04	31	46	941.72	20.47	0	2026-05-13 13:24:56.700
937	4e0d109ccfba9a1151c103049880c857	25550	sao joao de meriti	RJ	2017-11-24	2018-05-31	2	2	279.89	139.94	0	2026-05-13 13:24:56.700
938	4e17c65a516f69d023a2ae78b84f28d6	8673	suzano	SP	2017-03-13	2018-08-26	61	74	7639.26	103.23	0	2026-05-13 13:24:56.700
939	4e2627090e6e5b9fabba883a37897683	31565	belo horizonte	MG	2018-01-14	2018-02-26	2	5	199.50	39.90	0	2026-05-13 13:24:56.700
940	4e326052e5dbba8adcd512f3450a307e	8020	sao paulo	SP	2018-01-31	2018-02-25	3	6	570.00	95.00	0	2026-05-13 13:24:56.700
941	4e42581f08e8cfc7c090f930bac4552a	13660	portoferreira	SP	2017-11-24	2017-12-07	3	4	336.00	84.00	0	2026-05-13 13:24:56.700
942	4e480be820e37de1444325ff358c9296	37410	tres coracoes	MG	2018-07-11	2018-07-11	1	2	430.30	215.15	0	2026-05-13 13:24:56.700
943	4e5725ba188db8252977a4f0227bd462	14092	ribeirao preto	SP	2018-02-20	2018-05-25	22	25	1930.59	77.22	0	2026-05-13 13:24:56.700
944	4e6015589b781adaa5ce7f1892d06bb1	11440	guaruja	SP	2017-10-12	2018-01-24	3	3	684.00	228.00	0	2026-05-13 13:24:56.700
945	4e7c18b98d84e05cbae3ff0ff03846c2	14882	jaboticabal	SP	2017-02-04	2018-07-12	82	89	9177.90	103.12	0	2026-05-13 13:24:56.700
946	4e85b538b0dad58852641540686d0e14	12238	sao jose dos campos	SP	2017-07-27	2018-06-25	4	4	361.98	90.49	0	2026-05-13 13:24:56.700
947	4e8dacf3d38f281ae26c3e0321d92d88	8420	sao paulo	SP	2017-01-27	2017-06-05	10	15	2644.95	176.33	0	2026-05-13 13:24:56.700
948	4e922959ae960d389249c378d1c939f5	12327	jacarei	SP	2016-10-10	2018-08-28	420	454	46030.37	101.39	0	2026-05-13 13:24:56.700
949	4e92348462c75b6c842b994ce84a0ed4	94930	cachoeirinha	RS	2018-07-03	2018-07-03	1	1	69.90	69.90	0	2026-05-13 13:24:56.700
950	4ea2f12dbe91deeacd2c1e74f069a6e6	2334	sao paulo	SP	2017-09-05	2018-04-08	4	6	210.20	35.03	0	2026-05-13 13:24:56.700
951	4eb61f060e7dcc1d5a80d806c35cc541	5743	sao paulo	SP	2018-03-23	2018-08-23	8	8	1313.00	164.13	0	2026-05-13 13:24:56.700
952	4ebdc7e6cd6102a022dadc49156d4ea8	5030	sao paulo	SP	2017-02-22	2018-07-19	29	32	928.70	29.02	0	2026-05-13 13:24:56.700
953	4eeb99008a0f59d2c7759c59f9a346eb	6807	embu das artes	SP	2018-06-18	2018-06-18	2	2	1282.00	641.00	0	2026-05-13 13:24:56.700
954	4ef4c39cf3c24f326434cf0b2e48046a	5004	sao paulo	SP	2018-01-18	2018-08-23	8	9	891.00	99.00	0	2026-05-13 13:24:56.700
955	4f0d637c1197fd65405ebd755ac9f86b	6768	taboao da serra	SP	2018-05-30	2018-06-20	2	2	199.80	99.90	0	2026-05-13 13:24:56.700
956	4f1f1c8666cdb6442f775c4e8caed465	30240	belo horizonte	MG	2018-07-25	2018-08-01	2	2	944.98	472.49	0	2026-05-13 13:24:56.700
957	4f40d2ed38d1cc945364a7cd202a82c7	2337	sao paulo	SP	2017-11-25	2017-11-25	1	1	319.90	319.90	0	2026-05-13 13:24:56.700
958	4fae87d32467e18eb46e4a76a0a0b9ce	99670	ronda alta	RS	2018-08-17	2018-08-17	1	1	100.90	100.90	0	2026-05-13 13:24:56.700
959	4fb41dff7c50136976d1a5cf004a42e2	44002	feira de santana	BA	2017-11-27	2018-02-02	3	3	1230.00	410.00	0	2026-05-13 13:24:56.700
960	4fe2f67634d00c021aa01f96b6f2d68e	87035	maringa	PR	2018-08-11	2018-08-16	2	2	86.80	43.40	0	2026-05-13 13:24:56.700
961	5011f0d93373a4c5753adf58ca77af8d	11013	santos	SP	2017-08-16	2018-05-14	12	22	1009.42	45.88	0	2026-05-13 13:24:56.700
962	503c1de08ae81a2d86f17951b204db55	3725	sao paulo	SP	2017-06-28	2018-07-26	22	22	4906.99	223.04	0	2026-05-13 13:24:56.700
963	5058e8c1e82653974541e83690655b4a	8583	itaquaquecetuba	SP	2017-10-16	2018-08-03	63	78	10022.82	128.50	0	2026-05-13 13:24:56.700
964	5075aaa8404020ae6aa8bf4792099b41	37706	pocos de caldas	MG	2017-03-16	2018-01-13	13	23	1822.80	79.25	0	2026-05-13 13:24:56.700
965	50770d25768b0486d89be26afca3108f	9271	santo andre	SP	2017-12-12	2018-07-18	6	6	171.77	28.63	0	2026-05-13 13:24:56.700
966	508808d438fe2ff972ed13bb8f4a82e2	3963	sao paulo	SP	2018-08-04	2018-08-27	10	11	294.83	26.80	0	2026-05-13 13:24:56.700
967	50a7e551a7b3f8d37cd6e32d8bfbe5ea	9520	sao caetano do sul	SP	2018-07-24	2018-07-24	1	1	140.00	140.00	0	2026-05-13 13:24:56.700
968	50bf89f1349bc0409a268c3a49678009	15155	jaci	SP	2018-07-02	2018-07-02	1	1	179.90	179.90	0	2026-05-13 13:24:56.700
969	50c361bcf670d16f6df4d52de3dff924	4131	sao paulo	SP	2018-02-13	2018-02-13	1	1	35.00	35.00	0	2026-05-13 13:24:56.700
970	50c9975695009e5e6473912e83a6d1da	35530	claudio	MG	2017-02-05	2018-07-23	50	68	3964.40	58.30	0	2026-05-13 13:24:56.700
971	51209b446b2073894bdc0face6c73ffc	29104	vila velha	ES	2018-06-13	2018-07-19	2	4	359.60	89.90	0	2026-05-13 13:24:56.700
972	512d298ac2a96d1931b6bd30aa21f61d	20060	rio de janeiro	RJ	2018-01-17	2018-08-17	11	12	7401.94	616.83	0	2026-05-13 13:24:56.700
973	513a54369b6a8a6602fcb0e129c6d78d	9862	sao bernardo do campo	SP	2018-08-18	2018-08-26	2	2	47.80	23.90	0	2026-05-13 13:24:56.700
974	5145090ab595c0d0b8557199f5701fbf	82900	curitiba	PR	2018-03-15	2018-06-09	4	4	1459.60	364.90	0	2026-05-13 13:24:56.700
975	5151aea44289d6c6b090ee31c2132508	17515	marilia	SP	2017-02-17	2017-02-20	7	7	1315.30	187.90	0	2026-05-13 13:24:56.700
976	515d781150feed28a6ac091bb0e3cb8c	79090	campo grande	MS	2016-10-07	2017-05-11	6	6	1002.35	167.06	0	2026-05-13 13:24:56.700
977	5160d23075764e18e07c1f4a87fad743	9720	sao bernardo do campo	SP	2017-08-14	2017-12-05	34	39	2429.00	62.28	0	2026-05-13 13:24:56.700
978	516e7738bd8f735ac19a010ee5450d8d	22230	rio de janeiro	RJ	2018-05-11	2018-08-24	76	84	6643.09	79.08	0	2026-05-13 13:24:56.700
979	51702dc2a3e106c76dbff722b5bf0726	13835	conchal	SP	2017-02-23	2018-04-29	13	14	2705.10	193.22	0	2026-05-13 13:24:56.700
